cause_medium,year,age_name,sex,measure,nm_mean
Breast cancer,2010,25-29 years,Females,death,78.4088
Breast cancer,2010,30-34 years,Females,death,294.898
Breast cancer,2010,35-39 years,Females,death,735.843
Breast cancer,2010,40-44 years,Females,death,1462.02
Breast cancer,2010,45-49 years,Females,death,2574.81
Breast cancer,2010,50-54 years,Females,death,3692.94
Breast cancer,2010,55-59 years,Females,death,4402.92
Breast cancer,2010,60-64 years,Females,death,5067.47
Breast cancer,2010,65-69 years,Females,death,4490.49
Breast cancer,2010,70-74 years,Females,death,4130.83
Breast cancer,2010,75-79 years,Females,death,4186.91
Breast cancer,2010,80+ years,Females,death,11428
Breast cancer,2010,All ages,Females,death,42561.8
Colorectal cancer,2010,15-19 years,Males,death,10.0867
Colorectal cancer,2010,20-24 years,Males,death,26.3736
Colorectal cancer,2010,25-29 years,Males,death,66.7563
Colorectal cancer,2010,30-34 years,Males,death,115.939
Colorectal cancer,2010,35-39 years,Males,death,218.497
Colorectal cancer,2010,40-44 years,Males,death,469.364
Colorectal cancer,2010,45-49 years,Males,death,1027.55
Colorectal cancer,2010,50-54 years,Males,death,1812.36
Colorectal cancer,2010,55-59 years,Males,death,2612.06
Colorectal cancer,2010,60-64 years,Males,death,3534.89
Colorectal cancer,2010,65-69 years,Males,death,3819.16
Colorectal cancer,2010,70-74 years,Males,death,4098.95
Colorectal cancer,2010,75-79 years,Males,death,4277.97
Colorectal cancer,2010,80+ years,Males,death,9741.37
Colorectal cancer,2010,All ages,Males,death,31831.3
Colorectal cancer,2010,15-19 years,Females,death,5.52913
Colorectal cancer,2010,20-24 years,Females,death,16.6831
Colorectal cancer,2010,25-29 years,Females,death,45.7109
Colorectal cancer,2010,30-34 years,Females,death,99.9993
Colorectal cancer,2010,35-39 years,Females,death,188.49
Colorectal cancer,2010,40-44 years,Females,death,414.174
Colorectal cancer,2010,45-49 years,Females,death,842.347
Colorectal cancer,2010,50-54 years,Females,death,1448.52
Colorectal cancer,2010,55-59 years,Females,death,1982.97
Colorectal cancer,2010,60-64 years,Females,death,2597.46
Colorectal cancer,2010,65-69 years,Females,death,2900.23
Colorectal cancer,2010,70-74 years,Females,death,3354.45
Colorectal cancer,2010,75-79 years,Females,death,4045.65
Colorectal cancer,2010,80+ years,Females,death,14135
Colorectal cancer,2010,All ages,Females,death,32077.2
Rheumatic heart disease,2010,Under 5 years,Males,death,1.55206
Rheumatic heart disease,2010,15-19 years,Males,death,3.74044
Rheumatic heart disease,2010,20-24 years,Males,death,5.93076
Rheumatic heart disease,2010,25-29 years,Males,death,10.1187
Rheumatic heart disease,2010,30-34 years,Males,death,13.5764
Rheumatic heart disease,2010,35-39 years,Males,death,17.8108
Rheumatic heart disease,2010,40-44 years,Males,death,29.354
