cause_medium,year,age_name,sex,measure,nm_mean
Diabetes,2010,75-79 years,Females,death,5507.79
Diabetes,2010,80+ years,Females,death,21881.3
Diabetes,2010,All ages,Females,death,44719.8
Diabetes,2010,5-14 years,Females,death,14.1399
Road injury,2010,Under 5 years,Males,death,422.723
Road injury,2010,15-19 years,Males,death,2930.84
Road injury,2010,20-24 years,Males,death,4119.03
Road injury,2010,25-29 years,Males,death,2783.18
Road injury,2010,30-34 years,Males,death,1948.5
Road injury,2010,35-39 years,Males,death,1751.62
Road injury,2010,40-44 years,Males,death,1985.45
Road injury,2010,45-49 years,Males,death,2266.56
Road injury,2010,50-54 years,Males,death,2198.28
Road injury,2010,55-59 years,Males,death,1785.86
Road injury,2010,60-64 years,Males,death,1561.85
Road injury,2010,65-69 years,Males,death,1171.5
Road injury,2010,70-74 years,Males,death,1053.93
Road injury,2010,75-79 years,Males,death,1028.69
Road injury,2010,80+ years,Males,death,2254.78
Road injury,2010,All ages,Males,death,29950.8
Road injury,2010,5-14 years,Males,death,688.033
Road injury,2010,Under 5 years,Females,death,326.563
Road injury,2010,15-19 years,Females,death,1385.34
Road injury,2010,20-24 years,Females,death,1195.3
Road injury,2010,25-29 years,Females,death,804.085
Road injury,2010,30-34 years,Females,death,662.834
Road injury,2010,35-39 years,Females,death,707.568
Road injury,2010,40-44 years,Females,death,835.309
Road injury,2010,45-49 years,Females,death,937.498
Road injury,2010,50-54 years,Females,death,880.353
Road injury,2010,55-59 years,Females,death,850.111
Road injury,2010,60-64 years,Females,death,857.579
Road injury,2010,65-69 years,Females,death,744.146
Road injury,2010,70-74 years,Females,death,733.436
Road injury,2010,75-79 years,Females,death,759.322
Road injury,2010,80+ years,Females,death,1916.67
Road injury,2010,All ages,Females,death,14050.3
Road injury,2010,5-14 years,Females,death,454.237
Pedestrian road injury,2010,Under 5 years,Males,death,176.81
Pedestrian road injury,2010,15-19 years,Males,death,196.19
Pedestrian road injury,2010,20-24 years,Males,death,289.035
Pedestrian road injury,2010,25-29 years,Males,death,242.324
Pedestrian road injury,2010,30-34 years,Males,death,209.293
Pedestrian road injury,2010,35-39 years,Males,death,219.69
Pedestrian road injury,2010,40-44 years,Males,death,282.435
Pedestrian road injury,2010,45-49 years,Males,death,354.374
Pedestrian road injury,2010,50-54 years,Males,death,372.718
Pedestrian road injury,2010,55-59 years,Males,death,291.225
Pedestrian road injury,2010,60-64 years,Males,death,262.595
Pedestrian road injury,2010,65-69 years,Males,death,218.098
Pedestrian road injury,2010,70-74 years,Males,death,202.588
Pedestrian road injury,2010,75-79 years,Males,death,203.335
Pedestrian road injury,2010,80+ years,Males,death,468.881
Pedestrian road injury,2010,All ages,Males,death,4174.23
Pedestrian road injury,2010,5-14 years,Males,death,184.637
Pedestrian road injury,2010,Under 5 years,Females,death,105.28
Pedestrian road injury,2010,15-19 years,Females,death,88.5783
Pedestrian road injury,2010,20-24 years,Females,death,90.795
Pedestrian road injury,2010,25-29 years,Females,death,75.9149
Pedestrian road injury,2010,30-34 years,Females,death,73.1376
Pedestrian road injury,2010,35-39 years,Females,death,85.1908
Pedestrian road injury,2010,40-44 years,Females,death,116.328
Pedestrian road injury,2010,45-49 years,Females,death,133.877
Pedestrian road injury,2010,50-54 years,Females,death,123.889
Pedestrian road injury,2010,55-59 years,Females,death,138.113
Pedestrian road injury,2010,60-64 years,Females,death,136.197
Pedestrian road injury,2010,65-69 years,Females,death,134.765
Pedestrian road injury,2010,70-74 years,Females,death,130.786
Pedestrian road injury,2010,75-79 years,Females,death,145.905
Pedestrian road injury,2010,80+ years,Females,death,375.849
Pedestrian road injury,2010,All ages,Females,death,2050.15
Pedestrian road injury,2010,5-14 years,Females,death,95.5433
Other road injury,2010,Under 5 years,Males,death,2.32655
Other road injury,2010,15-19 years,Males,death,2.51181
Other road injury,2010,20-24 years,Males,death,3.07559
Other road injury,2010,25-29 years,Males,death,2.61521
Other road injury,2010,30-34 years,Males,death,1.92114
Other road injury,2010,35-39 years,Males,death,2.61671
Other road injury,2010,40-44 years,Males,death,3.23411
Other road injury,2010,45-49 years,Males,death,5.15914
Other road injury,2010,50-54 years,Males,death,5.83055
Other road injury,2010,55-59 years,Males,death,5.96896
Other road injury,2010,60-64 years,Males,death,5.71845
Other road injury,2010,65-69 years,Males,death,5.82352
Other road injury,2010,70-74 years,Males,death,5.12315
Other road injury,2010,75-79 years,Males,death,3.17842
Other road injury,2010,80+ years,Males,death,4.81568
Other road injury,2010,All ages,Males,death,64.0335
Other road injury,2010,5-14 years,Males,death,4.1145
Other road injury,2010,Under 5 years,Females,death,1.61062
Other road injury,2010,15-19 years,Females,death,1.78749
Other road injury,2010,20-24 years,Females,death,1.7825
Other road injury,2010,25-29 years,Females,death,1.37008
Other road injury,2010,30-34 years,Females,death,1.45313
Other road injury,2010,35-39 years,Females,death,2.01258
Other road injury,2010,40-44 years,Females,death,2.17968
Other road injury,2010,45-49 years,Females,death,3.24798
Other road injury,2010,50-54 years,Females,death,4.00101
Other road injury,2010,55-59 years,Females,death,3.74385
Other road injury,2010,60-64 years,Females,death,3.78922
Other road injury,2010,65-69 years,Females,death,2.86611
Other road injury,2010,70-74 years,Females,death,1.77145
Other road injury,2010,75-79 years,Females,death,1.65556
Other road injury,2010,80+ years,Females,death,3.00069
Other road injury,2010,All ages,Females,death,39.6698
Other road injury,2010,5-14 years,Females,death,3.39789
Lower respiratory infections,2010,Under 5 years,Males,daly,34096.6
Lower respiratory infections,2010,15-19 years,Males,daly,4535.3
Lower respiratory infections,2010,20-24 years,Males,daly,7193.33
Lower respiratory infections,2010,25-29 years,Males,daly,8299.88
Lower respiratory infections,2010,30-34 years,Males,daly,9116.06
Lower respiratory infections,2010,35-39 years,Males,daly,11918.8
Lower respiratory infections,2010,40-44 years,Males,daly,18949.1
Lower respiratory infections,2010,45-49 years,Males,daly,27211.3
Lower respiratory infections,2010,50-54 years,Males,daly,36161.8
Lower respiratory infections,2010,55-59 years,Males,daly,40763.8
Lower respiratory infections,2010,60-64 years,Males,daly,46920.2
Lower respiratory infections,2010,65-69 years,Males,daly,46765.9
Lower respiratory infections,2010,70-74 years,Males,daly,52379.7
Lower respiratory infections,2010,75-79 years,Males,daly,60175.7
Lower respiratory infections,2010,80+ years,Males,daly,156823
Lower respiratory infections,2010,All ages,Males,daly,568525
Lower respiratory infections,2010,5-14 years,Males,daly,7215.46
Lower respiratory infections,2010,Under 5 years,Females,daly,26856.4
Lower respiratory infections,2010,15-19 years,Females,daly,4026.38
Lower respiratory infections,2010,20-24 years,Females,daly,5681.02
Lower respiratory infections,2010,25-29 years,Females,daly,6570.62
Lower respiratory infections,2010,30-34 years,Females,daly,7744.01
Lower respiratory infections,2010,35-39 years,Females,daly,10472.7
Lower respiratory infections,2010,40-44 years,Females,daly,15640.8
Lower respiratory infections,2010,45-49 years,Females,daly,22337.2
Lower respiratory infections,2010,50-54 years,Females,daly,27775.8
Lower respiratory infections,2010,55-59 years,Females,daly,31340.5
Lower respiratory infections,2010,60-64 years,Females,daly,36743.1
Lower respiratory infections,2010,65-69 years,Females,daly,37194.6
Lower respiratory infections,2010,70-74 years,Females,daly,42678.7
Lower respiratory infections,2010,75-79 years,Females,daly,52041
Lower respiratory infections,2010,80+ years,Females,daly,190208
Lower respiratory infections,2010,All ages,Females,daly,524505
Lower respiratory infections,2010,5-14 years,Females,daly,7193.92
Upper respiratory infections,2010,Under 5 years,Males,daly,2698.63
Upper respiratory infections,2010,15-19 years,Males,daly,2533.79
Upper respiratory infections,2010,20-24 years,Males,daly,1782.06
Upper respiratory infections,2010,25-29 years,Males,daly,1890.37
Upper respiratory infections,2010,30-34 years,Males,daly,1852.78
Upper respiratory infections,2010,35-39 years,Males,daly,1902.06
Upper respiratory infections,2010,40-44 years,Males,daly,2112.8
Upper respiratory infections,2010,45-49 years,Males,daly,2236.86
Upper respiratory infections,2010,50-54 years,Males,daly,1903.22
Upper respiratory infections,2010,55-59 years,Males,daly,1387.05
Upper respiratory infections,2010,60-64 years,Males,daly,975.124
Upper respiratory infections,2010,65-69 years,Males,daly,661.529
Upper respiratory infections,2010,70-74 years,Males,daly,622.931
Upper respiratory infections,2010,75-79 years,Males,daly,579.348
Upper respiratory infections,2010,80+ years,Males,daly,1065.01
Upper respiratory infections,2010,All ages,Males,daly,31611.6
Upper respiratory infections,2010,5-14 years,Males,daly,7408.06
Upper respiratory infections,2010,Under 5 years,Females,daly,2523.31
Upper respiratory infections,2010,15-19 years,Females,daly,2528.26
Upper respiratory infections,2010,20-24 years,Females,daly,1850
Upper respiratory infections,2010,25-29 years,Females,daly,1920.98
Upper respiratory infections,2010,30-34 years,Females,daly,1905.68
Upper respiratory infections,2010,35-39 years,Females,daly,1959.91
Upper respiratory infections,2010,40-44 years,Females,daly,2170.05
Upper respiratory infections,2010,45-49 years,Females,daly,2323
Upper respiratory infections,2010,50-54 years,Females,daly,1967.67
Upper respiratory infections,2010,55-59 years,Females,daly,1436.54
Upper respiratory infections,2010,60-64 years,Females,daly,996.497
Upper respiratory infections,2010,65-69 years,Females,daly,699.093
Upper respiratory infections,2010,70-74 years,Females,daly,701.992
Upper respiratory infections,2010,75-79 years,Females,daly,722.934
Upper respiratory infections,2010,80+ years,Females,daly,1781.91
Upper respiratory infections,2010,All ages,Females,daly,32623.7
Upper respiratory infections,2010,5-14 years,Females,daly,7135.89
Lung cancer,2010,15-19 years,Males,daly,387.859
Lung cancer,2010,20-24 years,Males,daly,890.756
Lung cancer,2010,25-29 years,Males,daly,1725.11
Lung cancer,2010,30-34 years,Males,daly,3714.4
Lung cancer,2010,35-39 years,Males,daly,9424.71
Lung cancer,2010,40-44 years,Males,daly,31379.6
Lung cancer,2010,45-49 years,Males,daly,86219.1
Lung cancer,2010,50-54 years,Males,daly,173372
Lung cancer,2010,55-59 years,Males,daly,244112
Lung cancer,2010,60-64 years,Males,daly,316277
Lung cancer,2010,65-69 years,Males,daly,300734
Lung cancer,2010,70-74 years,Males,daly,242996
Lung cancer,2010,75-79 years,Males,daly,180068
Lung cancer,2010,80+ years,Males,daly,142194
Lung cancer,2010,All ages,Males,daly,1733500
Lung cancer,2010,15-19 years,Females,daly,234.062
Lung cancer,2010,20-24 years,Females,daly,678.576
Lung cancer,2010,25-29 years,Females,daly,1448.03
Lung cancer,2010,30-34 years,Females,daly,3754.83
Lung cancer,2010,35-39 years,Females,daly,10074.9
Lung cancer,2010,40-44 years,Females,daly,31427.2
Lung cancer,2010,45-49 years,Females,daly,78813
Lung cancer,2010,50-54 years,Females,daly,130416
Lung cancer,2010,55-59 years,Females,daly,174509
Lung cancer,2010,60-64 years,Females,daly,227093
Lung cancer,2010,65-69 years,Females,daly,219471
Lung cancer,2010,70-74 years,Females,daly,179951
Lung cancer,2010,75-79 years,Females,daly,135493
Lung cancer,2010,80+ years,Females,daly,106014
Lung cancer,2010,All ages,Females,daly,1299380
Breast cancer,2010,15-19 years,Females,daly,108.085
Breast cancer,2010,20-24 years,Females,daly,988.211
Breast cancer,2010,25-29 years,Females,daly,4869.14
Breast cancer,2010,30-34 years,Females,daly,16792.8
Breast cancer,2010,35-39 years,Females,daly,38285.1
Breast cancer,2010,40-44 years,Females,daly,69867.1
Breast cancer,2010,45-49 years,Females,daly,111579
Breast cancer,2010,50-54 years,Females,daly,142300
Breast cancer,2010,55-59 years,Females,daly,149421
Breast cancer,2010,60-64 years,Females,daly,149369
Breast cancer,2010,65-69 years,Females,daly,113643
Breast cancer,2010,70-74 years,Females,daly,86891.9
Breast cancer,2010,75-79 years,Females,daly,70576.9
Breast cancer,2010,80+ years,Females,daly,98258.2
Breast cancer,2010,All ages,Females,daly,1052950
Colorectal cancer,2010,15-19 years,Males,daly,704.41
Colorectal cancer,2010,20-24 years,Males,daly,1727.4
Colorectal cancer,2010,25-29 years,Males,daly,4027.18
Colorectal cancer,2010,30-34 years,Males,daly,6423.86
Colorectal cancer,2010,35-39 years,Males,daly,11060.3
Colorectal cancer,2010,40-44 years,Males,daly,21467.7
Colorectal cancer,2010,45-49 years,Males,daly,41985.9
Colorectal cancer,2010,50-54 years,Males,daly,65694.2
Colorectal cancer,2010,55-59 years,Males,daly,82107.5
Colorectal cancer,2010,60-64 years,Males,daly,94608.8
Colorectal cancer,2010,65-69 years,Males,daly,85257.9
Colorectal cancer,2010,70-74 years,Males,daly,73749.1
Colorectal cancer,2010,75-79 years,Males,daly,59460.1
Colorectal cancer,2010,80+ years,Males,daly,70067.4
Colorectal cancer,2010,All ages,Males,daly,618342
Colorectal cancer,2010,15-19 years,Females,daly,391.348
Colorectal cancer,2010,20-24 years,Females,daly,1098.05
Colorectal cancer,2010,25-29 years,Females,daly,2763.34
Colorectal cancer,2010,30-34 years,Females,daly,5550.58
Colorectal cancer,2010,35-39 years,Females,daly,9574.24
Colorectal cancer,2010,40-44 years,Females,daly,18987.8
Colorectal cancer,2010,45-49 years,Females,daly,34497.8
Colorectal cancer,2010,50-54 years,Females,daly,52659.6
Colorectal cancer,2010,55-59 years,Females,daly,62467.2
Colorectal cancer,2010,60-64 years,Females,daly,69707
Colorectal cancer,2010,65-69 years,Females,daly,64958.8
Colorectal cancer,2010,70-74 years,Females,daly,60490.7
Colorectal cancer,2010,75-79 years,Females,daly,56354
Colorectal cancer,2010,80+ years,Females,daly,88991.6
Colorectal cancer,2010,All ages,Females,daly,528492
Rheumatic heart disease,2010,Under 5 years,Males,daly,226.184
Rheumatic heart disease,2010,15-19 years,Males,daly,1377.41
Rheumatic heart disease,2010,20-24 years,Males,daly,1563.66
Rheumatic heart disease,2010,25-29 years,Males,daly,1794.17
Rheumatic heart disease,2010,30-34 years,Males,daly,1825.53
Rheumatic heart disease,2010,35-39 years,Males,daly,1913.62
Rheumatic heart disease,2010,40-44 years,Males,daly,2388.57
Rheumatic heart disease,2010,45-49 years,Males,daly,3399.92
Rheumatic heart disease,2010,50-54 years,Males,daly,3690.07
Rheumatic heart disease,2010,55-59 years,Males,daly,3962.68
Rheumatic heart disease,2010,60-64 years,Males,daly,4264.6
Rheumatic heart disease,2010,65-69 years,Males,daly,3923.49
Rheumatic heart disease,2010,70-74 years,Males,daly,3918.72
Rheumatic heart disease,2010,75-79 years,Males,daly,4262.65
Rheumatic heart disease,2010,80+ years,Males,daly,8634.28
Rheumatic heart disease,2010,All ages,Males,daly,49031
Rheumatic heart disease,2010,5-14 years,Males,daly,1885.42
Rheumatic heart disease,2010,Under 5 years,Females,daly,214.757
Rheumatic heart disease,2010,15-19 years,Females,daly,1644.9
Rheumatic heart disease,2010,20-24 years,Females,daly,1945.4
Rheumatic heart disease,2010,25-29 years,Females,daly,2092.39
Rheumatic heart disease,2010,30-34 years,Females,daly,2102.06
Rheumatic heart disease,2010,35-39 years,Females,daly,2381.47
Rheumatic heart disease,2010,40-44 years,Females,daly,3291.24
Rheumatic heart disease,2010,45-49 years,Females,daly,4313.23
Rheumatic heart disease,2010,50-54 years,Females,daly,4596.74
Rheumatic heart disease,2010,55-59 years,Females,daly,5382.5
Rheumatic heart disease,2010,60-64 years,Females,daly,6447.64
Rheumatic heart disease,2010,65-69 years,Females,daly,6194.34
Rheumatic heart disease,2010,70-74 years,Females,daly,6843.07
Rheumatic heart disease,2010,75-79 years,Females,daly,7397.65
Rheumatic heart disease,2010,80+ years,Females,daly,20203.6
Rheumatic heart disease,2010,All ages,Females,daly,77502.5
Rheumatic heart disease,2010,5-14 years,Females,daly,2451.47
Ischemic heart disease,2010,Under 5 years,Males,daly,6716.12
Ischemic heart disease,2010,15-19 years,Males,daly,6787.36
Ischemic heart disease,2010,20-24 years,Males,daly,13380.4
Ischemic heart disease,2010,25-29 years,Males,daly,23204.5
Ischemic heart disease,2010,30-34 years,Males,daly,39981.8
Ischemic heart disease,2010,35-39 years,Males,daly,74831.4
Ischemic heart disease,2010,40-44 years,Males,daly,163076
Ischemic heart disease,2010,45-49 years,Males,daly,310989
Ischemic heart disease,2010,50-54 years,Males,daly,479157
Ischemic heart disease,2010,55-59 years,Males,daly,551571
Ischemic heart disease,2010,60-64 years,Males,daly,621352
Ischemic heart disease,2010,65-69 years,Males,daly,542128
Ischemic heart disease,2010,70-74 years,Males,daly,494676
Ischemic heart disease,2010,75-79 years,Males,daly,470586
Ischemic heart disease,2010,80+ years,Males,daly,876570
Ischemic heart disease,2010,All ages,Males,daly,4678650
Ischemic heart disease,2010,5-14 years,Males,daly,3647.98
Ischemic heart disease,2010,Under 5 years,Females,daly,5219.47
Ischemic heart disease,2010,15-19 years,Females,daly,3184.67
Ischemic heart disease,2010,20-24 years,Females,daly,6001.07
Ischemic heart disease,2010,25-29 years,Females,daly,9957.87
Ischemic heart disease,2010,30-34 years,Females,daly,17074.3
Ischemic heart disease,2010,35-39 years,Females,daly,32049.1
Ischemic heart disease,2010,40-44 years,Females,daly,65105.4
Ischemic heart disease,2010,45-49 years,Females,daly,117595
Ischemic heart disease,2010,50-54 years,Females,daly,176527
Ischemic heart disease,2010,55-59 years,Females,daly,230365
Ischemic heart disease,2010,60-64 years,Females,daly,300496
Ischemic heart disease,2010,65-69 years,Females,daly,305867
Ischemic heart disease,2010,70-74 years,Females,daly,329949
Ischemic heart disease,2010,75-79 years,Females,daly,380650
Ischemic heart disease,2010,80+ years,Females,daly,1188380
Ischemic heart disease,2010,All ages,Females,daly,3170890
Ischemic heart disease,2010,5-14 years,Females,daly,2463.41
Stroke,2010,Under 5 years,Males,daly,8397.48
Stroke,2010,15-19 years,Males,daly,4106.58
Stroke,2010,20-24 years,Males,daly,7037.99
Stroke,2010,25-29 years,Males,daly,9238.34
Stroke,2010,30-34 years,Males,daly,13144.9
Stroke,2010,35-39 years,Males,daly,21061.2
Stroke,2010,40-44 years,Males,daly,36620
Stroke,2010,45-49 years,Males,daly,62943.8
Stroke,2010,50-54 years,Males,daly,90264.2
Stroke,2010,55-59 years,Males,daly,105118
Stroke,2010,60-64 years,Males,daly,124601
Stroke,2010,65-69 years,Males,daly,125149
Stroke,2010,70-74 years,Males,daly,132398
Stroke,2010,75-79 years,Males,daly,150706
Stroke,2010,80+ years,Males,daly,300956
Stroke,2010,All ages,Males,daly,1195660
Stroke,2010,5-14 years,Males,daly,3913.66
Stroke,2010,Under 5 years,Females,daly,6400.5
Stroke,2010,15-19 years,Females,daly,3159.35
Stroke,2010,20-24 years,Females,daly,5048.41
Stroke,2010,25-29 years,Females,daly,7391.85
Stroke,2010,30-34 years,Females,daly,11636.4
Stroke,2010,35-39 years,Females,daly,19666.7
Stroke,2010,40-44 years,Females,daly,35788.3
Stroke,2010,45-49 years,Females,daly,58876.2
Stroke,2010,50-54 years,Females,daly,77553.1
Stroke,2010,55-59 years,Females,daly,89423.1
Stroke,2010,60-64 years,Females,daly,108151
Stroke,2010,65-69 years,Females,daly,115836
Stroke,2010,70-74 years,Females,daly,135518
Stroke,2010,75-79 years,Females,daly,175323
Stroke,2010,80+ years,Females,daly,525176
Stroke,2010,All ages,Females,daly,1378320
Stroke,2010,5-14 years,Females,daly,3373.72
Ischemic stroke,2010,Under 5 years,Males,daly,3609.53
Ischemic stroke,2010,15-19 years,Males,daly,1270.04
Ischemic stroke,2010,20-24 years,Males,daly,1516.78
Ischemic stroke,2010,25-29 years,Males,daly,2255.42
Ischemic stroke,2010,30-34 years,Males,daly,3457.98
Ischemic stroke,2010,35-39 years,Males,daly,5474.61
Ischemic stroke,2010,40-44 years,Males,daly,9233.14
Ischemic stroke,2010,45-49 years,Males,daly,16997.1
Ischemic stroke,2010,50-54 years,Males,daly,27371.2
Ischemic stroke,2010,55-59 years,Males,daly,40086
Ischemic stroke,2010,60-64 years,Males,daly,60355.5
Ischemic stroke,2010,65-69 years,Males,daly,68489.3
Ischemic stroke,2010,70-74 years,Males,daly,83561.8
Ischemic stroke,2010,75-79 years,Males,daly,116004
Ischemic stroke,2010,80+ years,Males,daly,262953
Ischemic stroke,2010,All ages,Males,daly,704179
Ischemic stroke,2010,5-14 years,Males,daly,1543.73
Ischemic stroke,2010,Under 5 years,Females,daly,3011.52
Ischemic stroke,2010,15-19 years,Females,daly,934.208
Ischemic stroke,2010,20-24 years,Females,daly,1102.35
Ischemic stroke,2010,25-29 years,Females,daly,1764.43
Ischemic stroke,2010,30-34 years,Females,daly,2745.11
Ischemic stroke,2010,35-39 years,Females,daly,4543.42
Ischemic stroke,2010,40-44 years,Females,daly,7689.93
Ischemic stroke,2010,45-49 years,Females,daly,13293.2
Ischemic stroke,2010,50-54 years,Females,daly,21332.1
Ischemic stroke,2010,55-59 years,Females,daly,30412.2
Ischemic stroke,2010,60-64 years,Females,daly,46248.7
Ischemic stroke,2010,65-69 years,Females,daly,60691.2
Ischemic stroke,2010,70-74 years,Females,daly,76472.5
Ischemic stroke,2010,75-79 years,Females,daly,134127
Ischemic stroke,2010,80+ years,Females,daly,459979
Ischemic stroke,2010,All ages,Females,daly,865539
Ischemic stroke,2010,5-14 years,Females,daly,1192.74
Hemorrhagic stroke,2010,Under 5 years,Males,daly,4787.95
Hemorrhagic stroke,2010,15-19 years,Males,daly,2836.54
Hemorrhagic stroke,2010,20-24 years,Males,daly,5521.22
Hemorrhagic stroke,2010,25-29 years,Males,daly,6982.92
Hemorrhagic stroke,2010,30-34 years,Males,daly,9686.9
Hemorrhagic stroke,2010,35-39 years,Males,daly,15586.6
Hemorrhagic stroke,2010,40-44 years,Males,daly,27386.9
Hemorrhagic stroke,2010,45-49 years,Males,daly,45946.7
Hemorrhagic stroke,2010,50-54 years,Males,daly,62893
Hemorrhagic stroke,2010,55-59 years,Males,daly,65032.1
Hemorrhagic stroke,2010,60-64 years,Males,daly,64245.1
Hemorrhagic stroke,2010,65-69 years,Males,daly,56659.3
Hemorrhagic stroke,2010,70-74 years,Males,daly,48836.3
Hemorrhagic stroke,2010,75-79 years,Males,daly,34702
Hemorrhagic stroke,2010,80+ years,Males,daly,38002.7
Hemorrhagic stroke,2010,All ages,Males,daly,491476
Hemorrhagic stroke,2010,5-14 years,Males,daly,2369.93
Hemorrhagic stroke,2010,Under 5 years,Females,daly,3388.99
Hemorrhagic stroke,2010,15-19 years,Females,daly,2225.14
Hemorrhagic stroke,2010,20-24 years,Females,daly,3946.06
Hemorrhagic stroke,2010,25-29 years,Females,daly,5627.42
Hemorrhagic stroke,2010,30-34 years,Females,daly,8891.26
Hemorrhagic stroke,2010,35-39 years,Females,daly,15123.3
Hemorrhagic stroke,2010,40-44 years,Females,daly,28098.4
Hemorrhagic stroke,2010,45-49 years,Females,daly,45583
Hemorrhagic stroke,2010,50-54 years,Females,daly,56220.9
Hemorrhagic stroke,2010,55-59 years,Females,daly,59010.9
Hemorrhagic stroke,2010,60-64 years,Females,daly,61902.2
Hemorrhagic stroke,2010,65-69 years,Females,daly,55144.6
Hemorrhagic stroke,2010,70-74 years,Females,daly,59045.5
Hemorrhagic stroke,2010,75-79 years,Females,daly,41196.2
Hemorrhagic stroke,2010,80+ years,Females,daly,65197.1
Hemorrhagic stroke,2010,All ages,Females,daly,512782
Hemorrhagic stroke,2010,5-14 years,Females,daly,2180.98
Hypertensive heart disease,2010,Under 5 years,Males,daly,1005.57
Hypertensive heart disease,2010,15-19 years,Males,daly,905.765
Hypertensive heart disease,2010,20-24 years,Males,daly,2299.1
Hypertensive heart disease,2010,25-29 years,Males,daly,4290.06
Hypertensive heart disease,2010,30-34 years,Males,daly,6924.62
Hypertensive heart disease,2010,35-39 years,Males,daly,12241.4
Hypertensive heart disease,2010,40-44 years,Males,daly,22501.2
Hypertensive heart disease,2010,45-49 years,Males,daly,37884.8
Hypertensive heart disease,2010,50-54 years,Males,daly,48885.9
Hypertensive heart disease,2010,55-59 years,Males,daly,47865.8
Hypertensive heart disease,2010,60-64 years,Males,daly,44932.2
Hypertensive heart disease,2010,65-69 years,Males,daly,33884.6
Hypertensive heart disease,2010,70-74 years,Males,daly,26631.5
Hypertensive heart disease,2010,75-79 years,Males,daly,23437.9
Hypertensive heart disease,2010,80+ years,Males,daly,45414.3
Hypertensive heart disease,2010,All ages,Males,daly,359572
Hypertensive heart disease,2010,5-14 years,Males,daly,467.212
Hypertensive heart disease,2010,Under 5 years,Females,daly,591.445
Hypertensive heart disease,2010,15-19 years,Females,daly,274.779
Hypertensive heart disease,2010,20-24 years,Females,daly,611.761
Hypertensive heart disease,2010,25-29 years,Females,daly,1222.69
Hypertensive heart disease,2010,30-34 years,Females,daly,2228.69
Hypertensive heart disease,2010,35-39 years,Females,daly,4391.9
Hypertensive heart disease,2010,40-44 years,Females,daly,10056.9
Hypertensive heart disease,2010,45-49 years,Females,daly,17560.7
Hypertensive heart disease,2010,50-54 years,Females,daly,22686.2
Hypertensive heart disease,2010,55-59 years,Females,daly,25320.2
Hypertensive heart disease,2010,60-64 years,Females,daly,28622.2
Hypertensive heart disease,2010,65-69 years,Females,daly,26935.2
Hypertensive heart disease,2010,70-74 years,Females,daly,27892.2
Hypertensive heart disease,2010,75-79 years,Females,daly,31713.8
Hypertensive heart disease,2010,80+ years,Females,daly,102261
Hypertensive heart disease,2010,All ages,Females,daly,302613
Hypertensive heart disease,2010,5-14 years,Females,daly,243.074
COPD,2010,Under 5 years,Males,daly,3831.93
COPD,2010,15-19 years,Males,daly,18610.1
COPD,2010,20-24 years,Males,daly,25712.6
COPD,2010,25-29 years,Males,daly,32705.1
COPD,2010,30-34 years,Males,daly,37894.2
COPD,2010,35-39 years,Males,daly,46227.9
COPD,2010,40-44 years,Males,daly,61458.1
COPD,2010,45-49 years,Males,daly,90811.1
COPD,2010,50-54 years,Males,daly,129414
COPD,2010,55-59 years,Males,daly,162785
COPD,2010,60-64 years,Males,daly,211802
COPD,2010,65-69 years,Males,daly,220208
COPD,2010,70-74 years,Males,daly,219065
COPD,2010,75-79 years,Males,daly,207174
COPD,2010,80+ years,Males,daly,299956
COPD,2010,All ages,Males,daly,1785130
COPD,2010,5-14 years,Males,daly,17477.9
COPD,2010,Under 5 years,Females,daly,2630.62
COPD,2010,15-19 years,Females,daly,15824.7
COPD,2010,20-24 years,Females,daly,21583.9
COPD,2010,25-29 years,Females,daly,27666.4
COPD,2010,30-34 years,Females,daly,33326.8
COPD,2010,35-39 years,Females,daly,41991.4
COPD,2010,40-44 years,Females,daly,58538.7
COPD,2010,45-49 years,Females,daly,89284.2
COPD,2010,50-54 years,Females,daly,126215
COPD,2010,55-59 years,Females,daly,160183
COPD,2010,60-64 years,Females,daly,212085
COPD,2010,65-69 years,Females,daly,225737
COPD,2010,70-74 years,Females,daly,228278
COPD,2010,75-79 years,Females,daly,220734
COPD,2010,80+ years,Females,daly,394346
COPD,2010,All ages,Females,daly,1873400
COPD,2010,5-14 years,Females,daly,14970.4
Asthma,2010,Under 5 years,Males,daly,11834.1
Asthma,2010,15-19 years,Males,daly,50024.3
Asthma,2010,20-24 years,Males,daly,34776.8
Asthma,2010,25-29 years,Males,daly,27821.7
Asthma,2010,30-34 years,Males,daly,22985.6
Asthma,2010,35-39 years,Males,daly,21935.1
Asthma,2010,40-44 years,Males,daly,22910
Asthma,2010,45-49 years,Males,daly,25565.4
Asthma,2010,50-54 years,Males,daly,25739.8
Asthma,2010,55-59 years,Males,daly,22695
Asthma,2010,60-64 years,Males,daly,19897.7
Asthma,2010,65-69 years,Males,daly,15024.4
Asthma,2010,70-74 years,Males,daly,11277.9
Asthma,2010,75-79 years,Males,daly,8698.22
Asthma,2010,80+ years,Males,daly,11656.8
Asthma,2010,All ages,Males,daly,476332
Asthma,2010,5-14 years,Males,daly,143489
Asthma,2010,Under 5 years,Females,daly,10377.3
Asthma,2010,15-19 years,Females,daly,51728.8
Asthma,2010,20-24 years,Females,daly,36485
Asthma,2010,25-29 years,Females,daly,29738.3
Asthma,2010,30-34 years,Females,daly,26426.3
